MN_CODE_st,MN_NAME,Centroid_X,Centroid_Y
288,Maletswai,26.888,-31.006
289,Gariep,26.009,-30.983
290,Ngquza Hill,29.619,-31.241
291,Port St Johns,29.421,-31.536
292,Nyandeni,29.068,-31.594
293,Mhlontlo,28.782,-31.206
294,King Sabata Dalindyebo,28.673,-31.762
295,Matatiele,28.8,-30.347
296,Umzimvubu,29.024,-30.777
297,Mbizana,29.846,-30.949
298,Ntabankulu,29.301,-30.979
797,Ekurhuleni,28.313,-26.199
599,eThekwini,30.851,-29.805
460,Letsemeng,25.015,-29.358
461,Kopanong,25.641,-29.976
462,Mohokare,26.708,-30.208
463,Naledi,26.796,-29.681
464,Masilonyana,26.603,-28.635
465,Tokologo,25.356,-28.473
466,Tswelopele,25.932,-28.066
467,Matjhabeng,26.889,-28.008
468,Nala,26.444,-27.62
469,Setsoto,27.573,-28.579
470,Dihlabeng,28.295,-28.362
471,Nketoana,28.246,-27.85
472,Maluti a Phofung,29.025,-28.332
473,Phumelela,29.229,-27.676
474,Mantsopa,27.218,-29.135
475,Moqhaka,27.194,-27.501
477,Ngwathe,27.732,-27.296
478,Metsimaholo,28.044,-26.929
479,Mafube,28.608,-27.27
760,Emfuleni,27.781,-26.628
761,Midvaal,28.129,-26.623
762,Lesedi,28.507,-26.461
763,Mogale City,27.683,-25.987
764,Randfontein,27.595,-26.186
765,Westonaria,27.656,-26.394
766,Merafong City,27.399,-26.417
798,City of Johannesburg,27.964,-26.177
560,Vulamehlo,30.572,-30.209
561,Umdoni,30.671,-30.346
503,Umzumbe,30.337,-30.485
504,UMuziwabantu,29.876,-30.631
505,Ezingoleni,30.163,-30.743
260,Buffalo City,27.612,-32.951
199,City of Cape Town,18.594,-33.893
261,Camdeboo,24.163,-32.373
262,Blue Crane Route,25.413,-32.778
263,Ikwezi,24.659,-33.005
264,Makana,26.408,-33.235
265,Ndlambe,26.744,-33.523
266,Sundays River Valley,25.497,-33.512
267,Baviaans,23.791,-33.281
268,Kouga,24.8,-33.904
269,Kou-Kamma,24.06,-33.868
270,Mbhashe,28.58,-32.123
271,Mnquma,28.169,-32.345
272,Great Kei,28.009,-32.662
273,Amahlathi,27.352,-32.489
274,Ngqushwa,27.199,-33.187
276,Nkonkobe,26.785,-32.772
277,Nxuba,26.27,-32.573
278,Inxuba Yethemba,25.322,-31.863
279,Tsolwana,26.097,-31.85
280,Inkwanca,26.472,-31.502
281,Lukanji,26.945,-32.091
282,Intsika Yethu,27.64,-31.944
283,Emalahleni,27.194,-31.596
284,Engcobo,28.091,-31.681
285,Sakhisizwe,27.779,-31.445
286,Elundini,28.336,-30.924
287,Senqu,27.561,-30.866
970,Aganang,29.079,-23.663
982,Mogalakwena,28.693,-23.846
983,Ephraim Mogale,29.337,-24.902
978,Lephalale,27.797,-23.676
984,Elias Motsoaledi,29.562,-25.196
985,Makhuduthamaga,29.772,-24.722
986,Fetakgomo,29.883,-24.406
987,Greater Tubatse,30.301,-24.647
499,Mangaung,26.351,-29.156
860,Albert Luthuli,30.486,-26.056
861,Msukaligwa,30.13,-26.468
862,Mkhondo,30.705,-26.993
863,Pixley Ka Seme,29.956,-27.128
864,Lekwa,29.349,-26.878
865,Dipaleseng,28.639,-26.784
866,Govan Mbeki,29.196,-26.467
867,Victor Khanye,28.769,-26.133
868,Emalahleni,29.162,-26.018
869,Steve Tshwete,29.552,-25.837
870,Emakhazeni,30.107,-25.597
871,Thembisile,28.952,-25.47
873,Thaba Chweu,30.572,-25.065
874,Mbombela,31.128,-25.33
872,Dr JS Moroka,28.801,-25.104
875,Umjindi,31.001,-25.749
876,Nkomazi,31.73,-25.502
877,Bushbuckridge,31.524,-24.557
566,The Msunduzi,30.31,-29.652
363,Richtersveld,17.06,-28.768
364,Nama Khoi,17.915,-29.456
365,Kamiesberg,18.13,-30.375
366,Hantam,19.917,-31.025
367,Karoo Hoogland,21.027,-31.651
368,Kh?i-Ma,19.298,-29.563
369,Ubuntu,23.134,-31.374
370,Umsobomvu,25.047,-30.848
371,Emthanjeni,23.858,-30.679
372,Kareeberg,22.135,-30.546
373,Renosterberg,24.45,-30.256
374,Thembelihle,23.765,-29.708
375,Siyathemba,22.552,-29.634
376,Siyancuma,23.368,-28.984
377,Mier,20.367,-26.456
378,Kai !Garib,20.416,-28.969
379,//Khara Hais,21.308,-27.696
380,!Kheis,21.604,-29.233
381,Tsantsabane,22.553,-28.038
383,Sol Plaatjie,24.514,-28.743
384,Dikgatlong,24.192,-28.193
385,Magareng,24.78,-28.169
506,Hibiscus Coast,30.328,-30.804
562,uMshwathi,30.583,-29.381
563,uMngeni,30.098,-29.439
564,Mpofana,30.036,-29.185
565,Impendle,29.709,-29.543
567,Mkhambathini,30.554,-29.853
568,Richmond,30.287,-29.892
514,Emnambithi/Ladysmith,29.766,-28.416
569,Indaka,30.137,-28.554
570,Umtshezi,29.978,-28.898
571,Okhahlamba,29.316,-28.755
573,Imbabazane,29.609,-29.113
574,Endumeni,30.299,-28.171
575,Nqutu,30.738,-28.306
576,Msinga,30.46,-28.618
577,Umvoti,30.683,-29.034
524,Newcastle,29.876,-27.739
525,Emadlangeni,30.321,-27.618
526,Dannhauser,30.019,-28.005
578,eDumbe,30.811,-27.47
579,UPhongolo,31.578,-27.486
529,Abaqulusi,31.052,-27.834
580,Nongoma,31.746,-27.912
581,Ulundi,31.309,-28.24
582,Umhlabuyalingana,32.561,-27.189
583,Jozini,32.146,-27.368
584,The Big 5 False Bay,32.444,-27.86
585,Hlabisa,31.944,-28.173
586,Mtubatuba,32.295,-28.288
587,Mfolozi,32.101,-28.552
538,uMhlathuze,31.935,-28.789
588,Ntambanana,31.711,-28.568
589,uMlalazi,31.445,-28.905
590,Mthonjaneni,31.384,-28.585
542,Nkandla,30.993,-28.659
591,Mandeni,31.468,-29.124
592,KwaDukuza,31.255,-29.356
593,Ndwedwe,30.971,-29.424
546,Maphumulo,31.062,-29.111
594,Ingwe,29.839,-29.89
595,Kwa Sani,29.401,-29.763
596,Greater Kokstad,29.334,-30.301
597,Ubuhlebezwe,30.165,-30.19
598,Umzimkhulu,29.738,-30.292
960,Greater Giyani,30.9,-23.364
962,Greater Tzaneen,30.283,-23.864
963,Ba-Phalaborwa,31.193,-23.776
964,Maruleng,30.813,-24.31
967,Musina,29.731,-22.431
965,Mutale,30.828,-22.559
966,Thulamela,30.933,-22.929
968,Makhado,29.798,-23.018
961,Greater Letaba,30.275,-23.512
969,Blouberg,28.742,-22.951
973,Molemole,29.567,-23.498
974,Polokwane,29.488,-23.948
976,Lepele-Nkumpi,29.708,-24.266
977,Thabazimbi,27.186,-24.544
979,Mookgopong,28.859,-24.551
980,Modimolle,28.184,-24.447
981,Bela-Bela,28.272,-24.954
382,Kgatelopele,23.632,-28.218
386,Phokwane,24.809,-27.796
360,Joe Morolong,22.938,-26.838
362,Gamagara,22.999,-27.641
299,Nelson Mandela Bay,25.492,-33.804
660,Moretele,28.049,-25.169
661,Madibeng,27.739,-25.436
675,Ventersdorp,26.899,-26.314
799,City of Tshwane,28.443,-25.66
160,Matzikama,18.499,-31.256
161,Cederberg,18.924,-32.257
162,Bergrivier,18.673,-32.787
163,Saldanha Bay,18.176,-33.01
164,Swartland,18.62,-33.31
165,Witzenberg,19.689,-32.95
166,Drakenstein,19.003,-33.597
167,Stellenbosch,18.945,-33.926
168,Breede Valley,19.699,-33.572
171,Theewaterskloof,19.44,-34.161
172,Overstrand,19.372,-34.471
173,Cape Agulhas,20.058,-34.498
170,Swellendam,20.509,-34.037
175,Hessequa,21.228,-34.134
176,Mossel Bay,21.942,-34.042
177,George,22.93,-33.695
179,Bitou,23.407,-33.937
169,Langeberg,20.055,-33.786
174,Kannaland,21.318,-33.603
180,Knysna,22.984,-33.946
181,Laingsburg,20.966,-33.104
178,Oudtshoorn,22.222,-33.593
182,Prince Albert,22.13,-33.051
183,Beaufort West,22.747,-32.277
361,Ga-Segonyana,23.561,-27.623
662,Rustenburg,27.332,-25.66
664,Moses Kotane,26.865,-25.133
665,Ratlou,25.064,-26.082
666,Tswaing,25.653,-26.618
667,Mafikeng,25.678,-25.885
668,Ditsobotla,26.241,-26.109
669,Ramotshere Moiloa,26.122,-25.21
663,Kgetlengrivier,26.864,-25.723
670,Naledi,24.79,-26.865
671,Mamusa,25.277,-27.223
672,Greater Taung,24.439,-27.503
673,Lekwa-Teemane,25.332,-27.636
674,Kagisano/Molopo,23.765,-26.118
676,Tlokwe City Council,27.15,-26.739
677,City of Matlosana,26.485,-26.812
678,Maquassi Hills,26.036,-27.239
